setup,error,v score,r score
10000 10 lin-lin,0.05,1,1
10000 50 lin-lin,0.05,0.018094596,0.017802426
10000 100 lin-lin,0.05,0.069488458,0.084641577
10000 10 lin-slin,0.05,0.975,0.969469981
10000 50 lin-slin,0.05,0.026878098,0.03733697
10000 100 lin-slin,0.05,0.069967518,0.069811979
10000 10 lin-invlin,0.05,0.3125,0.322545057
10000 50 lin-invlin,0.05,0.006719368,0.008749156
10000 100 lin-invlin,0.05,0.064798941,0.063293359
10000 10 lin-randlin,0.05,0.5625,0.680920384
10000 50 lin-randlin,0.05,0.024993599,0.034505674
10000 100 lin-randlin,0.05,0.059119493,0.055360903
10000 10 lin-zipf,0.05,0.95,0.980745466
10000 50 lin-zipf,0.05,0.046674576,0.293407682
10000 100 lin-zipf,0.05,0.027053617,0.219865075
10000 10 zipf-zipf,0.05,1,1
10000 50 zipf-zipf,0.05,0.053443127,0.330465028
10000 100 zipf-zipf,0.05,0.041387195,0.289865204
10000 10 zipf-randzipf,0.05,0.975,0.988881978
10000 50 zipf-randzipf,0.05,0.022658286,0.083558928
10000 100 zipf-randzipf,0.05,0.021367679,0.102593854
10000 10 zipf-invzipf,0.05,1,1
10000 50 zipf-invzipf,0.05,0.043942556,0.173829457
10000 100 zipf-invzipf,0.05,0.061205983,0.214958032
1000000 10 lin-lin,0.05,1,1
1000000 50 lin-lin,0.05,0.015858586,0.004727087
1000000 100 lin-lin,0.05,0.103116596,0.153238008
1000000 10 lin-slin,0.05,1,1
1000000 50 lin-slin,0.05,0.00889563,0.00268181
1000000 100 lin-slin,0.05,0.095018802,0.126978922
1000000 10 lin-invlin,0.05,0.3,0.3
1000000 50 lin-invlin,0.05,0.036680761,0.064069358
1000000 100 lin-invlin,0.05,0.09205425,0.094118072
1000000 10 lin-randlin,0.05,1,1
1000000 50 lin-randlin,0.05,0.030164132,0.0281693
1000000 100 lin-randlin,0.05,0.071480249,0.101214999
1000000 10 lin-zipf,0.05,1,1
1000000 50 lin-zipf,0.05,0.03827313,0.345501655
1000000 100 lin-zipf,0.05,0.021471454,0.218633121
1000000 10 zipf-zipf,0.05,1,1
1000000 50 zipf-zipf,0.05,0.042549586,0.354784843
1000000 100 zipf-zipf,0.05,0.034317812,0.280348278
1000000 10 zipf-randzipf,0.05,1,1
1000000 50 zipf-randzipf,0.05,0.040295849,0.272566909
1000000 100 zipf-randzipf,0.05,0.03361065,0.284194224
1000000 10 zipf-invzipf,0.05,1,1
1000000 50 zipf-invzipf,0.05,0.020284747,0.135438648
1000000 100 zipf-invzipf,0.05,0.104488873,0.431601974
1000000 10 lin-lin,0.1,0.975,0.969371358
1000000 50 lin-lin,0.1,0.01591144,0.012909005
1000000 100 lin-lin,0.1,0.062730813,0.081182129
1000000 10 lin-slin,0.1,0.9,0.884967393
1000000 50 lin-slin,0.1,0.022189591,0.03342289
1000000 100 lin-slin,0.1,0.079383025,0.098793339
1000000 10 lin-invlin,0.1,0.3,0.3
1000000 50 lin-invlin,0.1,0.054931277,0.093767494
1000000 100 lin-invlin,0.1,0.088658779,0.08664053
1000000 10 lin-randlin,0.1,0.925,0.883123389
1000000 50 lin-randlin,0.1,0.0209504,0.019729055
1000000 100 lin-randlin,0.1,0.039383513,0.047628527
1000000 10 lin-zipf,0.1,0.925,0.964924977
1000000 50 lin-zipf,0.1,0.040447043,0.34550176
1000000 100 lin-zipf,0.1,0.038392458,0.223440073
1000000 10 zipf-zipf,0.1,0.975,0.988550978
1000000 50 zipf-zipf,0.1,0.042549586,0.360640661
1000000 100 zipf-zipf,0.1,0.023849515,0.331458054
1000000 10 zipf-randzipf,0.1,1,1
1000000 50 zipf-randzipf,0.1,0.048231249,0.238439013
1000000 100 zipf-randzipf,0.1,0.028230194,0.214859291
1000000 10 zipf-invzipf,0.1,0.975,0.939842
1000000 50 zipf-invzipf,0.1,0.039285019,0.169403827
1000000 100 zipf-invzipf,0.1,0.019568302,0.129453109